application_id,skill_match_score,experience_gap,skill_coverage_ratio,gpa_normalized,projects_normalized,internships_normalized,hackathons_normalized,research_normalized,certification_gap,education_match,specialization_match,seniority_match,leadership_experience,fit_score,fit_label
A000001,0.125,0.7132867,0.61558574,0.6,0.375,0.5,0.2,0.3333,0.75,1.0,0.0,0.0,0.0,57.25,0
A000002,0.375,0.46853146,1.0,0.03,0.625,0.75,1.0,0.3333,0.25,1.0,0.0,0.0,1.0,58.55,1
A000003,0.125,0.48251748,0.7693515,0.045,0.625,0.0,0.6,0.6667,0.25,1.0,1.0,0.0,1.0,49.95,0
A000004,0.125,0.42657343,0.8462343,0.57,0.25,0.5,0.8,0.0,0.75,1.0,0.0,0.0,0.0,56.33,0
A000005,0.25,0.4125874,0.4618201,0.585,0.5,0.0,0.8,0.0,0.0,1.0,0.0,0.0,1.0,52.1,1
A000006,0.25,0.75524473,0.4618201,0.695,0.25,0.25,0.2,0.0,0.75,1.0,0.0,0.0,1.0,60.95,1
A000007,0.375,0.4055944,0.8462343,0.81,0.5,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.0,43.73,0
A000008,0.125,0.61538464,0.23064853,0.14,0.25,0.25,0.4,1.0,0.5,1.0,1.0,0.0,1.0,54.03,1
A000009,0.5,0.27272728,0.7693515,0.045,0.625,0.25,0.0,0.0,0.5,1.0,0.0,1.0,0.0,54.58,0
A000010,0.0,0.37062937,0.0,0.045,0.125,0.75,0.6,0.0,0.5,1.0,0.0,1.0,0.0,47.08,0
A000011,0.125,0.2937063,0.07688285,0.265,0.75,1.0,0.4,0.3333,0.5,1.0,0.0,1.0,0.0,49.77,0
A000012,0.125,0.54545456,0.92311716,0.78,0.625,0.5,0.4,0.0,0.25,1.0,0.0,0.0,1.0,56.3,1
A000013,0.25,0.57342654,0.4618201,0.98,0.625,0.25,0.2,0.0,0.5,1.0,0.0,0.0,1.0,65.67,1
A000014,0.25,0.55244756,0.69246864,0.465,0.25,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,54.65,1
A000015,0.25,0.28671327,1.0,0.735,0.5,0.0,0.4,0.6667,0.75,1.0,0.0,1.0,0.0,52.6,0
A000016,0.25,0.34265736,0.8462343,0.79,0.125,0.25,0.2,0.0,0.25,1.0,0.0,1.0,1.0,56.27,1
A000017,0.125,0.3146853,0.69246864,0.795,0.375,0.0,0.2,0.0,0.5,1.0,0.0,1.0,0.0,52.2,1
A000018,0.125,0.56643355,0.23064853,0.855,0.375,0.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,49.8,0
A000019,0.375,0.34965035,0.7693515,0.305,0.0,0.75,0.4,0.0,0.25,1.0,0.0,1.0,1.0,58.17,1
A000020,0.5,0.3216783,0.8462343,0.62,0.625,0.25,0.0,0.3333,0.25,0.0,1.0,1.0,0.0,58.33,1
A000021,0.125,0.3846154,0.38493723,0.375,0.5,1.0,0.2,0.0,0.25,1.0,0.0,0.0,0.0,53.62,1
A000022,0.125,0.4755245,0.4618201,0.43,0.125,0.75,0.0,0.3333,0.25,1.0,0.0,0.0,0.0,51.3,1
A000023,0.25,0.6363636,0.69246864,0.185,0.125,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,55.23,1
A000024,0.125,0.56643355,0.92311716,0.01,0.75,1.0,0.6,0.3333,0.0,1.0,0.0,0.0,0.0,47.23,0
A000025,0.0,0.3216783,0.61558574,0.345,0.25,1.0,0.4,0.0,0.5,1.0,0.0,1.0,0.0,47.7,0
A000026,0.125,0.54545456,0.4618201,0.935,0.25,1.0,0.2,0.0,0.5,1.0,0.0,0.0,0.0,61.98,1
A000027,0.0,0.56643355,0.69246864,0.9,0.625,0.5,0.4,0.6667,0.25,1.0,1.0,0.0,1.0,56.12,1
A000028,0.375,0.61538464,0.61558574,0.29,0.25,0.25,0.2,0.6667,0.0,0.0,0.0,0.0,0.0,45.78,0
A000029,0.25,0.42657343,0.69246864,0.12,0.25,0.25,0.4,0.3333,0.0,1.0,0.0,0.0,0.0,47.2,0
A000030,0.125,0.5174825,0.07688285,0.77,0.375,0.25,0.2,1.0,0.25,1.0,0.0,0.0,0.0,53.95,0
A000031,0.25,0.3216783,0.8462343,0.04,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,43.9,0
A000032,0.25,0.57342654,1.0,0.285,0.625,0.5,0.6,0.0,0.0,1.0,0.0,0.0,1.0,51.73,0
A000033,0.0,0.5104895,0.07688285,0.46,0.75,0.25,0.8,0.6667,0.25,1.0,0.0,0.0,0.0,48.35,0
A000034,0.125,0.34965035,0.8462343,0.135,0.375,0.5,0.2,0.0,0.0,1.0,0.0,1.0,0.0,44.6,1
A000035,0.25,0.37762237,0.61558574,0.78,0.625,0.5,0.0,0.3333,0.0,1.0,0.0,0.0,0.0,56.68,1
A000036,0.0,0.34265736,0.1537657,0.7,0.5,0.25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52.5,0
A000037,0.125,0.5244755,0.69246864,0.71,0.625,0.0,0.2,0.0,0.25,1.0,0.0,0.0,0.0,53.6,1
A000038,0.0,0.74125874,0.61558574,0.505,1.0,0.0,0.2,0.6667,0.0,1.0,0.0,0.0,0.0,45.05,0
A000039,0.5,0.7622378,0.38493723,0.465,0.375,0.75,0.2,0.3333,0.0,0.0,0.0,0.0,1.0,54.53,1
A000040,0.375,0.46853146,0.92311716,0.375,0.875,0.5,0.4,0.0,0.0,1.0,1.0,0.0,0.0,61.25,0
A000041,0.25,0.53846157,0.69246864,0.155,0.25,0.25,0.2,0.0,0.0,1.0,0.0,0.0,0.0,47.55,0
A000042,0.0,0.48951048,0.69246864,0.1,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,1.0,48.5,0
A000043,0.0,0.4755245,0.07688285,0.86,0.5,0.75,0.0,0.3333,0.5,1.0,0.0,0.0,0.0,57.1,1
A000044,0.125,0.54545456,0.8462343,0.29,0.5,0.5,0.0,0.0,0.25,1.0,0.0,0.0,0.0,50.78,1
A000045,0.125,0.27972028,0.92311716,0.75,1.0,0.25,0.0,0.0,0.5,1.0,0.0,1.0,0.0,50.87,1
A000046,0.25,0.62237763,0.8462343,0.14,0.5,0.25,0.2,0.3333,1.0,1.0,0.0,0.0,1.0,56.65,1
A000047,0.0,0.6013986,0.0,0.53,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42.3,0
A000048,0.125,0.6433566,0.4618201,0.31,0.25,0.75,0.4,0.0,0.0,1.0,0.0,0.0,0.0,46.73,0
A000049,0.375,0.4755245,0.5387029,0.245,0.75,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,54.32,1
A000050,0.25,0.54545456,0.8462343,0.515,0.75,0.25,0.0,0.3333,0.5,1.0,0.0,0.0,1.0,61.65,1
A000051,0.25,0.35664335,0.92311716,0.13,0.625,0.25,1.0,0.0,0.25,1.0,1.0,1.0,1.0,56.17,1
A000052,0.0,0.48251748,0.0,0.985,0.625,0.25,0.6,0.0,0.5,1.0,0.0,0.0,0.0,56.97,1
A000053,0.125,0.44755244,0.69246864,0.785,0.25,0.75,0.2,0.0,0.25,1.0,0.0,0.0,1.0,55.48,1
